Taxable status,State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$"
Taxable,SA,5045,"8,209","8,209","688,474,902","8,208","171,659,756","7,619","13,060,731",195,"276,799","7,620","13,336,308","8,209","179,579,663",463,"1,860,242","6,696","474,168,250","6,609","126,266,825","1,315","5,992,698",123,"1,928,377",140,"2,391,546",386,"1,808,110",222,"2,081,976",97,"1,536,828",353,"16,156,721","5,055","7,035,388",819,"1,258,512","2,007","36,855,225","2,002","15,383,215","8,209","719,668,276"
Taxable,SA,5046,"4,024","4,024","258,245,988","4,024","52,321,641","3,734","4,829,835",58,"60,245","3,734","4,889,291","4,024","55,185,325",276,"1,086,198","3,610","227,948,476","3,588","55,134,067",735,"2,219,020",60,"741,293",72,"633,609",230,"1,066,755",146,"1,181,962",51,"500,180",172,"6,745,491","2,398","1,864,891",281,"95,023",730,"2,630,953",729,"1,107,971","4,024","268,517,673"
Taxable,SA,5047,"3,501","3,501","212,216,336","3,501","41,516,660","3,200","3,928,291",61,"72,118","3,200","4,000,409","3,501","43,863,749",247,"962,435","3,125","184,837,773","3,103","43,393,405",647,"1,573,580",37,"463,233",54,"568,441",260,"1,304,913",128,"1,102,395",20,"163,265",94,"3,822,740","1,975","1,372,151",179,"167,090",463,"2,560,226",463,"1,063,364","3,501","219,926,947"
Taxable,SA,5048,"6,740","6,740","523,242,288","6,738","122,887,494","6,305","9,985,844",125,"141,018","6,306","10,125,602","6,740","128,076,436",397,"1,702,309","5,576","393,675,465","5,523","103,161,785","1,134","4,163,272",105,"1,724,491",114,"2,970,219",286,"1,322,148",261,"2,170,059",81,"1,203,007",412,"17,930,626","4,196","5,599,757",673,"576,288","1,589","17,722,042","1,585","7,373,267","6,740","546,034,549"
Taxable,SA,5049,"4,853","4,853","366,705,089","4,853","84,802,576","4,564","7,010,565",133,"151,366","4,564","7,161,514","4,853","88,971,117",264,"1,123,125","4,008","278,328,859","3,957","71,964,522",839,"3,295,620",62,"879,265",69,"1,221,069",185,"808,072",153,"1,232,427",44,"560,797",215,"9,841,794","2,916","4,244,685",444,"300,253","1,034","9,404,062","1,030","3,872,519","4,853","382,270,463"
Taxable,SA,5050,"2,570","2,570","189,590,659","2,570","42,869,290","2,439","3,628,610",67,"86,742","2,440","3,715,181","2,570","44,649,594",178,"776,163","2,133","144,199,882","2,107","37,155,767",405,"1,465,634",34,"715,019",39,"1,091,804",103,"498,236",95,"737,750",26,"348,188",168,"7,605,990","1,606","2,171,134",310,"185,296",635,"7,406,407",633,"3,140,049","2,570","197,160,997"
Taxable,SA,5051,"7,324","7,324","561,395,482","7,323","128,900,868","7,001","10,838,785",171,"180,831","7,004","11,019,160","7,324","135,283,050",442,"1,850,156","6,186","451,493,192","6,142","118,518,734","1,092","3,418,310",121,"2,101,626",106,"2,578,512",164,"692,344",230,"1,683,862",82,"1,015,908",382,"17,855,523","4,447","3,906,878",660,"303,341","1,515","10,980,852","1,512","4,605,101","7,324","582,740,288"
Taxable,SA,5052,"3,152","3,152","255,605,756","3,150","60,900,257","3,000","4,919,864",80,"95,364","3,001","5,014,700","3,152","63,501,089",214,"943,866","2,577","195,226,559","2,542","53,253,888",459,"1,623,118",44,"1,106,934",51,"1,490,369",101,"443,508",126,"947,064",29,"231,742",217,"10,063,439","1,911","2,174,168",369,"365,950",836,"8,302,769",833,"3,463,851","3,152","266,085,826"
Taxable,SA,5061,"5,264","5,264","641,373,413","5,264","191,773,951","4,988","12,530,676",106,"180,526","4,989","12,709,925","5,264","200,316,243",392,"1,839,123","3,945","342,192,373","3,838","102,349,115",656,"4,819,748",73,"1,493,344",79,"2,492,646",146,"727,724",63,"534,242",50,"992,091",217,"12,103,782","3,500","6,832,302",770,"1,066,845","1,734","35,982,064","1,727","15,058,559","5,264","670,498,603"
Taxable,SA,5062,"7,494","7,494","749,514,151","7,492","204,777,189","7,075","14,528,787",108,"159,219","7,077","14,685,986","7,494","213,675,883",498,"2,212,819","5,829","468,965,647","5,707","133,851,076",996,"4,889,069",111,"2,700,518",100,"2,770,101",228,"987,489",170,"1,468,307",104,"1,642,291",441,"23,829,049","4,887","8,986,608","1,050","1,219,758","2,363","45,174,079","2,356","18,904,359","7,494","784,113,882"
Taxable,SA,5063,"5,926","5,926","523,152,034","5,924","131,996,739","5,597","10,064,305",131,"146,112","5,599","10,209,428","5,926","138,295,246",510,"2,470,651","4,888","382,907,522","4,836","106,800,323",832,"3,999,124",81,"1,514,377",70,"2,212,164",197,"963,752",129,"1,197,937",47,"644,975",276,"12,683,845","3,875","5,351,593",741,"679,931","1,646","21,230,281","1,642","8,902,087","5,926","548,152,532"
Taxable,SA,5064,"4,807","4,807","508,502,549","4,807","142,139,209","4,496","9,728,973",70,"101,225","4,497","9,828,041","4,807","147,708,300",234,"1,103,334","3,457","285,406,737","3,380","82,374,681",617,"3,445,872",57,"1,240,545",55,"1,283,931",113,"489,271",103,"987,222",53,"1,143,166",298,"16,279,578","3,255","7,592,270",792,"1,217,466","1,700","33,657,636","1,696","14,103,075","4,807","533,298,787"
Taxable,SA,5065,"4,885","4,885","514,191,003","4,883","144,038,885","4,561","9,874,652",70,"138,198","4,561","10,006,993","4,885","149,867,878",298,"1,424,190","3,562","286,339,137","3,467","81,980,937",558,"2,288,387",46,"853,790",58,"1,682,726",160,"746,733",102,"784,788",42,"678,993",318,"16,170,814","3,329","6,834,795",856,"1,437,876","1,774","34,980,652","1,771","14,712,623","4,885","541,076,039"
Taxable,SA,5066,"6,154","6,154","668,655,744","6,149","189,312,984","5,793","12,973,369",116,"160,837","5,797","13,116,500","6,154","196,751,631",340,"1,621,671","4,428","377,735,889","4,296","110,251,916",748,"4,265,375",69,"1,727,896",77,"2,637,374",134,"529,410",119,"1,011,328",53,"852,464",355,"18,334,283","4,044","9,054,369",969,"1,120,045","2,160","37,467,130","2,152","15,645,478","6,154","700,988,585"
Taxable,SA,5067,"5,227","5,227","493,248,672","5,226","130,504,355","4,875","9,415,144",107,"129,814","4,876","9,543,132","5,227","135,638,442",427,"2,127,139","4,212","330,575,565","4,142","93,609,305",702,"3,840,448",56,"1,290,503",81,"2,475,404",220,"1,015,973",97,"856,497",67,"898,768",220,"10,578,792","3,392","5,533,794",630,"737,541","1,407","23,362,517","1,405","9,841,406","5,227","517,646,344"
Taxable,SA,5068,"5,870","5,870","566,865,686","5,869","152,565,451","5,485","10,891,948",87,"125,130","5,485","11,014,972","5,870","159,401,141",419,"1,931,281","4,559","347,369,061","4,472","96,299,588",790,"3,318,127",65,"1,404,183",86,"2,333,478",202,"872,963",131,"1,228,299",42,"550,914",275,"13,362,221","3,842","7,013,049",786,"960,023","1,803","35,229,977","1,796","14,741,439","5,870","593,311,821"
Taxable,SA,5069,"4,235","4,235","434,050,429","4,235","119,595,832","3,998","8,386,834",77,"98,415","3,998","8,485,196","4,235","124,780,383",329,"1,642,076","3,360","267,986,472","3,298","76,518,488",552,"2,334,788",50,"1,514,929",64,"2,773,140",153,"689,099",62,"492,404",42,"448,882",182,"9,996,178","2,761","4,244,742",580,"457,814","1,305","16,769,373","1,305","6,940,135","4,235","454,563,226"
Taxable,SA,5070,"6,387","6,387","468,460,637","6,386","106,567,688","5,838","8,808,546",100,"120,594","5,838","8,928,516","6,387","111,879,665",438,"1,857,724","5,371","362,080,355","5,316","91,935,507",994,"3,728,709",67,"1,120,761",88,"1,966,763",275,"1,249,489",185,"1,524,585",49,"731,970",265,"11,175,230","4,065","4,661,878",615,"1,037,228","1,454","13,394,313","1,449","5,518,975","6,387","487,739,204"
Taxable,SA,5071,102,102,"9,990,154",102,"2,770,104",93,"194,981",3,"2,447",93,"197,427",102,"2,883,723",6,"30,625",69,"4,872,511",67,"1,227,072",14,"178,669",0,0,1,"8,494",1,"8,182",2,"23,870",1,"51,919",7,"444,698",67,"148,100",17,"8,330",36,"800,898",36,"336,726",102,"10,438,363"
Taxable,SA,5072,"5,830","5,830","464,636,143","5,829","110,633,539","5,466","8,893,318",99,"117,013","5,466","9,009,883","5,830","116,294,323",362,"1,625,660","4,776","335,138,338","4,685","87,652,008",834,"3,533,921",73,"1,374,390",78,"1,627,466",197,"900,095",149,"1,333,167",55,"847,178",234,"10,836,442","3,821","6,043,947",610,"701,524","1,545","19,562,320","1,543","8,084,983","5,830","484,471,969"
Taxable,SA,5073,"6,825","6,825","481,033,521","6,822","105,849,924","6,294","9,089,858",85,"98,260","6,294","9,186,972","6,825","111,479,627",430,"1,845,518","5,673","371,046,057","5,604","92,867,227","1,020","3,285,762",88,"2,053,536",80,"1,031,040",265,"1,236,383",168,"1,513,080",50,"628,244",232,"9,804,580","4,291","5,482,042",570,"336,966","1,486","10,085,905","1,483","4,140,500","6,825","500,214,701"
Taxable,SA,5074,"5,423","5,423","336,591,638","5,422","67,142,622","4,927","6,236,970",60,"73,967","4,927","6,310,801","5,423","70,801,555",316,"1,245,749","4,682","277,363,311","4,635","64,628,855",883,"3,025,321",75,"912,269",78,"834,938",252,"1,144,660",153,"1,542,273",49,"458,313",164,"6,540,751","3,264","3,153,428",328,"197,208",881,"4,423,790",880,"1,854,510","5,423","349,464,869"
Taxable,SA,5075,"4,665","4,665","302,982,152","4,664","62,154,095","4,324","5,699,000",72,"89,840","4,324","5,788,665","4,665","65,412,181",270,"1,036,896","3,992","246,663,807","3,951","59,143,022",781,"2,374,563",65,"1,234,613",76,"1,048,632",164,"843,622",154,"1,347,285",49,"415,917",196,"8,325,286","2,821","2,670,176",376,"230,618",969,"5,867,526",966,"2,430,658","4,665","315,428,245"
Taxable,SA,5076,"4,644","4,644","322,063,432","4,642","69,766,694","4,393","6,172,879",64,"76,851","4,393","6,246,277","4,644","73,368,105",282,"1,230,300","3,908","254,421,727","3,855","63,308,147",750,"2,628,019",64,"1,046,861",74,"1,409,521",159,"654,168",115,"954,350",48,"598,650",162,"7,318,934","2,877","3,117,367",380,"246,304",970,"7,756,172",968,"3,175,615","4,644","334,462,259"
Taxable,SA,5081,"4,769","4,768","571,770,553","4,769","170,731,537","4,489","11,087,765",86,"107,098","4,490","11,193,324","4,769","178,044,294",354,"1,812,245","3,585","291,238,398","3,491","84,228,626",634,"3,431,905",68,"1,353,423",64,"1,251,803",121,"550,410",76,"689,512",56,"961,267",223,"12,558,513","3,223","8,028,749",688,"1,331,137","1,578","41,984,727","1,572","17,647,052","4,768","599,853,519"
Taxable,SA,5082,"7,597","7,597","629,759,399","7,596","156,080,106","7,057","11,989,536",167,"202,107","7,062","12,190,618","7,597","163,505,442",637,"2,824,654","6,567","460,338,773","6,488","119,972,072","1,143","4,696,460",89,"1,672,921",107,"1,467,457",345,"1,851,567",107,"837,952",66,"860,128",230,"10,621,636","4,563","5,452,946",657,"403,340","1,614","19,437,875","1,607","8,076,652","7,597","653,508,096"
Taxable,SA,5083,"3,584","3,584","247,878,657","3,584","53,261,464","3,328","4,690,139",61,"64,845","3,328","4,754,984","3,584","56,454,757",247,"1,102,366","3,150","210,643,510","3,131","52,867,552",599,"1,488,563",48,"425,888",53,"1,065,884",135,"629,547",69,"625,078",40,"407,195",115,"4,638,950","2,125","2,131,989",310,"133,847",743,"4,396,728",742,"1,810,062","3,584","257,808,206"
Taxable,SA,5084,"3,617","3,617","192,063,266","3,617","33,931,966","2,982","3,299,304",59,"69,332","2,982","3,368,635","3,617","35,719,284",205,"771,885","3,141","164,020,462","3,116","36,095,627",646,"2,449,178",40,"697,049",55,"612,979",366,"1,759,786",66,"733,261",15,"133,036",42,"1,392,301","1,757","950,010",101,"61,447",308,"1,257,427",304,"513,250","3,617","198,600,924"
Taxable,SA,5085,"9,132","9,132","578,748,966","9,130","116,984,720","8,134","10,521,986",149,"172,062","8,137","10,692,515","9,132","123,949,667",675,"2,778,791","8,223","511,004,441","8,167","122,008,844","1,809","5,469,774",119,"1,601,412",135,"1,246,392",524,"2,596,515",203,"2,019,536",41,"341,245",167,"6,171,649","4,853","2,694,117",350,"155,400","1,086","6,855,567","1,080","2,786,589","9,132","599,999,674"
Taxable,SA,5086,"6,926","6,926","433,158,484","6,926","86,095,733","6,301","7,987,209",119,"138,499","6,303","8,122,527","6,926","91,403,534",450,"1,808,768","6,288","387,808,591","6,263","90,947,854","1,314","3,630,106",104,"1,266,478",106,"1,285,184",380,"1,758,765",157,"1,416,600",55,"503,934",130,"5,007,060","3,802","2,431,172",331,"151,238",961,"3,860,451",958,"1,575,148","6,926","449,406,879"
Taxable,SA,5087,"5,102","5,102","315,706,168","5,101","62,602,390","4,595","5,766,494",82,"85,440","4,597","5,850,042","5,102","66,113,963",354,"1,522,099","4,554","274,169,170","4,519","64,490,626",949,"2,318,770",57,"808,003",75,"808,302",265,"1,357,427",99,"835,917",38,"241,655",145,"5,408,362","2,990","2,169,586",300,"191,795",741,"3,602,528",740,"1,501,626","5,102","327,345,765"
Taxable,SA,5088,"1,498","1,498","83,947,064","1,498","15,252,399","1,359","1,532,636",20,"26,368","1,359","1,558,873","1,498","16,125,272",85,"312,912","1,345","74,329,362","1,333","16,538,957",295,"651,799",22,"281,575",24,"262,801",106,"507,915",41,"347,646",13,"201,285",25,"1,017,428",816,"432,727",62,"4,814",162,"216,964",162,"90,725","1,498","87,026,005"
Taxable,SA,5089,"3,300","3,300","232,624,289","3,300","50,606,482","3,098","4,430,669",42,"53,393","3,098","4,484,044","3,300","53,237,123",172,"615,325","2,772","185,742,425","2,735","46,405,456",589,"2,202,833",40,"688,924",48,"1,042,809",117,"494,233",88,"736,817",35,"465,195",129,"6,102,393","1,955","1,736,482",267,"188,818",679,"5,570,695",677,"2,268,883","3,300","241,965,270"
Taxable,SA,5090,"3,076","3,076","185,335,458","3,076","35,770,228","2,847","3,463,495",31,"32,403","2,847","3,495,863","3,076","37,513,434",163,"598,256","2,676","158,493,757","2,657","36,862,504",586,"1,439,910",49,"909,525",60,"1,049,784",143,"747,164",132,"1,024,715",17,"143,471",136,"5,114,630","1,783","1,397,032",189,"83,942",501,"2,282,856",500,"954,570","3,076","192,170,694"
Taxable,SA,5091,"3,577","3,577","234,873,610","3,576","48,355,185","3,359","4,439,691",53,"55,481","3,359","4,495,102","3,577","50,816,712",181,"720,677","3,110","198,765,525","3,092","48,325,596",646,"1,724,647",73,"1,310,570",73,"1,489,211",134,"554,170",152,"1,124,569",31,"319,158",162,"7,414,670","2,038","1,543,563",245,"149,770",582,"3,287,224",580,"1,370,153","3,577","243,547,890"
Taxable,SA,5092,"7,720","7,720","460,038,716","7,720","88,154,409","7,088","8,564,417",123,"139,692","7,090","8,703,954","7,720","93,094,650",374,"1,399,440","6,983","411,869,803","6,948","94,481,176","1,476","3,729,653",124,"2,183,612",164,"2,074,841",422,"2,006,030",230,"1,914,211",64,"836,186",230,"9,485,573","4,224","2,455,656",400,"141,733","1,057","3,461,827","1,055","1,438,123","7,720","475,939,584"
Taxable,SA,5093,"3,734","3,734","219,537,047","3,734","41,586,814","3,436","4,072,477",66,"80,004","3,437","4,152,481","3,734","44,081,695",207,"798,471","3,333","193,626,484","3,313","44,085,696",742,"1,947,428",54,"697,306",71,"1,059,551",234,"1,105,282",106,"898,286",24,"314,855",90,"3,506,598","1,931","1,204,516",172,"147,270",432,"1,182,212",430,"483,764","3,734","227,297,509"
Taxable,SA,5094,377,377,"23,859,041",377,"4,997,440",337,"438,476",7,"7,443",337,"445,920",377,"5,293,296",12,"44,822",334,"18,484,988",332,"4,184,505",86,"405,073",9,"42,228",6,"16,448",32,"168,792",7,"54,903",2,"12,531",5,"193,480",185,"94,701",21,"3,262",42,"278,534",42,"112,999",377,"24,748,444"
Taxable,SA,5095,"9,402","9,402","604,986,062","9,401","123,648,466","8,274","10,754,039",178,"212,626","8,277","10,966,073","9,402","130,764,679",577,"2,197,758","8,488","535,540,113","8,417","128,344,873","1,971","5,793,856",158,"2,427,418",181,"2,693,888",522,"2,612,347",181,"1,676,702",66,"574,203",138,"5,106,553","5,002","3,062,604",367,"185,290","1,065","6,258,299","1,063","2,548,671","9,402","628,101,449"
Taxable,SA,5096,"5,792","5,792","341,031,412","5,792","64,848,849","5,315","6,303,003",79,"109,516","5,316","6,412,519","5,792","68,428,982",256,"917,628","5,126","293,319,005","5,104","66,618,524","1,168","3,101,633",110,"2,090,007",133,"2,196,040",399,"1,957,450",137,"1,127,114",38,"301,003",109,"4,310,422","3,048","1,766,400",290,"54,091",684,"4,167,729",681,"1,677,679","5,792","354,220,867"
Taxable,SA,5097,"6,275","6,275","390,708,046","6,274","77,224,943","5,868","7,369,697",68,"72,079","5,869","7,441,632","6,275","81,141,104",301,"1,204,986","5,587","342,849,885","5,570","80,448,115","1,192","3,039,280",122,"2,056,046",124,"1,783,258",308,"1,415,419",174,"1,511,457",62,"491,299",222,"9,775,543","3,476","2,214,554",361,"91,209",860,"3,128,424",860,"1,305,479","6,275","404,529,660"
Taxable,SA,5098,"4,972","4,972","289,359,008","4,972","54,535,373","4,533","5,318,875",70,"90,849","4,533","5,409,585","4,972","57,493,108",230,"827,854","4,478","258,692,503","4,453","58,671,500","1,023","2,412,603",94,"1,458,513",107,"1,594,037",331,"1,740,483",165,"1,289,864",43,"507,887",130,"4,840,619","2,547","1,219,271",213,"94,605",507,"2,127,059",507,"885,467","4,972","299,420,109"
Taxable,SA,5106,81,81,"5,407,906",81,"1,139,546",78,"103,875",0,0,78,"103,875",81,"1,175,752",3,"10,662",59,"3,352,763",59,"752,897",10,"22,376",3,"50,479",2,"6,790",7,"38,659",5,"44,623",2,"8,948",6,"216,121",42,"7,777",3,"26,045",11,"231,322",11,"91,653",81,"5,670,778"
Taxable,SA,5107,"6,615","6,615","358,867,611","6,615","63,509,482","5,931","6,452,905",79,"85,972","5,931","6,538,828","6,615","67,258,894",281,"1,098,240","5,984","323,021,546","5,943","69,811,950","1,361","2,887,727",117,"1,505,444",159,"1,321,980",497,"2,303,314",150,"1,364,041",42,"314,245",89,"3,207,943","3,087","1,481,730",165,"54,685",423,"1,375,005",422,"560,133","6,615","372,575,227"
Taxable,SA,5108,"15,361","15,361","830,755,213","15,361","146,328,942","13,834","14,986,607",218,"285,497","13,835","15,271,384","15,361","154,159,343",546,"1,894,878","14,213","757,783,094","14,147","162,860,369","3,292","7,318,709",308,"4,815,818",387,"5,453,178","1,558","7,852,133",405,"4,054,637",115,"943,153",221,"7,105,412","6,640","2,936,975",372,"156,893","1,017","2,096,377","1,014","866,771","15,361","860,650,077"
Taxable,SA,5109,"8,125","8,125","476,608,688","8,125","90,280,118","7,408","8,750,579",106,"137,602","7,408","8,888,016","8,125","95,148,920",314,"1,114,579","7,312","414,198,466","7,268","92,883,706","1,644","4,526,643",153,"2,492,144",185,"2,693,377",594,"2,852,319",272,"2,518,439",73,"679,001",206,"7,855,039","4,043","2,211,737",308,"150,198",834,"5,878,412",831,"2,335,810","8,125","493,675,025"
Taxable,SA,5110,"3,458","3,458","197,360,503","3,458","36,530,120","3,093","3,558,414",43,"55,897","3,093","3,613,952","3,458","38,396,023",146,"513,979","3,108","175,306,065","3,095","38,952,828",767,"1,840,240",65,"852,878",86,"1,236,376",251,"1,241,742",80,"758,056",25,"265,588",34,"1,087,904","1,494","649,777",60,"64,698",215,"938,671",214,"372,894","3,458","204,735,206"
Taxable,SA,5111,287,287,"20,347,052",287,"4,301,715",56,"60,319",1,"1,812",56,"62,131",287,"4,288,483",32,"113,241",286,"20,553,864",286,"4,677,005",268,"166,791",2,"72,844",1,"163,074",3,"15,642",1,"4,218",2,"1,531",3,"82,295",195,"99,872",4,117,14,"4,086",14,"1,748",287,"21,281,736"
Taxable,SA,5112,"5,901","5,901","321,110,152","5,901","57,172,053","5,308","5,744,943",78,"87,525","5,308","5,832,458","5,901","59,687,004",186,"683,514","5,480","292,422,072","5,457","64,122,007","1,224","2,512,284",152,"2,632,404",189,"3,491,854",777,"4,221,926",181,"1,700,659",56,"477,138",143,"4,984,842","2,618","960,866",173,"46,060",440,"1,063,278",437,"433,142","5,901","332,611,634"
Taxable,SA,5113,"4,793","4,793","235,280,320","4,793","37,756,146","4,143","4,055,584",34,"39,314","4,144","4,094,892","4,793","39,572,584",118,"404,808","4,550","220,043,571","4,537","44,684,490","1,041","1,816,210",87,"1,059,609",115,"1,007,613",873,"4,560,754",203,"2,002,603",32,"208,379",82,"2,481,720","1,650","447,987",58,"9,075",162,"532,862",162,"221,355","4,793","244,250,790"
Taxable,SA,5114,"14,484","14,484","856,112,991","14,484","162,969,260","13,041","15,365,337",215,"253,955","13,041","15,619,103","14,484","171,827,147",611,"2,156,507","13,515","778,034,850","13,463","175,278,584","3,276","6,989,313",294,"4,716,455",408,"6,594,798","1,138","5,586,202",394,"3,533,909",138,"1,156,439",266,"9,309,426","6,608","2,563,194",392,"289,754","1,059","7,622,872","1,054","3,050,856","14,484","888,951,115"
Taxable,SA,5115,"4,595","4,595","252,681,700","4,595","44,764,336","4,053","4,403,899",60,"67,995","4,053","4,471,894","4,595","47,470,328",226,"771,463","4,357","239,714,435","4,346","51,684,505","1,151","2,003,211",88,"1,026,765",119,"794,311",433,"2,167,020",153,"1,335,275",35,"191,049",48,"1,497,893","2,002","399,356",60,"68,438",212,"349,392",211,"144,771","4,595","262,798,868"
Taxable,SA,5116,"4,055","4,055","245,008,614","4,054","47,527,847","3,614","4,326,824",66,"80,294","3,617","4,406,881","4,055","49,555,223",182,"684,907","3,696","219,719,786","3,683","50,487,891",946,"1,950,320",64,"837,730",88,"1,211,492",286,"1,419,585",155,"1,470,529",42,"388,844",116,"4,157,947","2,040","1,037,535",144,"117,099",353,"1,534,425",353,"645,291","4,055","254,481,580"
Taxable,SA,5117,"1,489","1,489","97,669,983","1,489","19,983,668","1,401","1,844,680",34,"35,275","1,402","1,879,955","1,489","21,245,787",36,"147,467","1,288","83,265,518","1,284","20,108,466",287,"963,905",35,"636,765",41,"601,983",34,"108,727",18,"164,249",18,"269,633",28,"1,001,779",754,"400,440",74,"10,249",197,"995,064",197,"396,594","1,489","101,874,885"
Taxable,SA,5118,"8,457","8,457","560,238,291","8,457","116,708,344","7,864","10,408,119",200,"233,179","7,864","10,641,107","8,457","122,593,491",313,"1,172,320","7,487","478,544,972","7,449","116,057,519","1,728","4,235,612",169,"3,462,184",163,"3,194,551",405,"1,778,435",218,"1,904,819",108,"1,320,630",283,"11,338,676","4,593","3,523,922",591,"326,617","1,328","9,063,472","1,322","3,691,784","8,457","583,454,841"
Taxable,SA,5120,"1,076","1,076","67,483,425","1,076","13,778,748",994,"1,265,251",37,"50,980",994,"1,316,232","1,076","14,299,677",50,"189,373",765,"43,816,933",750,"9,938,980",158,"633,823",12,"196,010",13,"361,934",52,"294,965",14,"117,046",3,"24,308",9,"252,317",541,"722,588",51,"19,007",158,"2,703,750",158,"1,042,539","1,076","70,253,927"
Taxable,SA,5121,731,731,"41,876,498",731,"7,773,180",651,"751,139",6,"6,486",651,"757,625",731,"8,058,520",41,"143,554",621,"34,781,752",611,"7,737,632",172,"413,216",10,"119,289",11,"93,246",45,"176,221",22,"176,690",5,"22,174",15,"511,342",352,"296,628",18,"1,706",78,"773,299",75,"305,489",731,"43,571,652"
Taxable,SA,5125,"9,580","9,580","668,877,929","9,580","143,791,486","9,002","12,626,011",171,"193,694","9,002","12,818,552","9,580","151,925,286",460,"1,807,956","8,602","580,463,089","8,549","144,158,023","1,784","5,883,187",192,"4,089,226",191,"4,314,452",320,"1,403,715",250,"1,935,408",117,"1,399,158",282,"11,376,546","5,382","3,424,316",561,"266,732","1,617","9,732,904","1,613","3,959,749","9,580","694,100,067"
Taxable,SA,5126,"3,520","3,520","223,515,752","3,519","44,734,739","3,330","4,249,683",75,"77,329","3,330","4,327,011","3,520","47,245,941",168,"649,761","3,179","197,837,831","3,153","46,815,830",657,"1,789,396",61,"956,605",79,"1,235,583",154,"699,520",96,"736,146",29,"272,364",111,"4,939,454","1,860","947,771",161,"92,200",438,"1,906,415",437,"781,557","3,520","231,912,735"
Taxable,SA,5127,"3,938","3,938","256,950,572","3,936","52,670,296","3,698","4,863,959",64,"62,015","3,701","4,924,887","3,938","55,356,431",205,"794,672","3,577","227,325,457","3,565","54,648,962",723,"1,951,023",87,"1,624,747",79,"2,579,907",163,"624,366",83,"653,332",63,"718,573",125,"5,053,557","2,291","1,514,981",274,"51,197",648,"2,667,198",645,"1,109,690","3,938","266,360,211"
Taxable,SA,5131,473,473,"33,126,223",473,"7,266,866",453,"640,554",10,"12,564",453,"653,118",473,"7,688,886",14,"47,983",365,"24,786,413",358,"6,206,965",69,"282,448",5,"53,603",7,"74,258",13,"41,131",9,"62,480",2,"25,194",13,"532,836",293,"231,898",52,"11,471",112,"930,002",112,"363,530",473,"34,618,693"
Taxable,SA,5132,214,214,"17,823,577",214,"4,405,393",206,"347,994",2,"17,394",206,"365,388",214,"4,634,381",8,"34,970",177,"12,033,831",171,"3,078,508",37,"132,580",0,0,3,"25,252",3,"11,909",4,"33,254",2,"19,845",6,"218,936",132,"175,696",17,"3,595",45,"640,056",45,"268,193",214,"18,779,413"
Taxable,SA,5133,203,203,"15,054,999",203,"3,355,192",196,"293,866",4,"5,747",196,"299,613",203,"3,544,548",5,"21,876",173,"12,610,092",171,"3,338,410",37,"143,491",5,"76,303",3,"101,722",4,"17,619",5,"61,256",2,"18,114",5,"217,383",137,"182,509",14,"1,011",40,"303,914",40,"125,587",203,"15,776,862"
Taxable,SA,5134,172,172,"13,715,194",172,"3,265,153",168,"266,390",0,0,168,"266,390",172,"3,418,514",15,"55,370",139,"9,472,613",131,"2,571,903",25,"78,203",2,"11,204",4,"37,871",4,"8,152",4,"36,704",1,"19,946",10,"370,646",107,"74,621",13,"19,115",44,"413,593",44,"172,281",172,"14,302,394"
Taxable,SA,5136,225,225,"17,812,665",225,"4,173,373",213,"343,318",6,"4,732",213,"348,050",225,"4,362,556",13,"67,724",172,"12,632,828",169,"3,411,951",25,"123,237",0,0,1,"7,307",7,"30,056",4,"31,138",2,"10,604",12,"696,078",137,"89,146",31,"7,808",68,"671,536",67,"279,808",225,"18,412,285"
Taxable,SA,5137,270,270,"21,957,699",270,"5,330,956",260,"425,787",4,"2,391",260,"428,178",270,"5,439,458",11,"47,917",218,"14,843,055",209,"3,873,821",36,"130,282",2,"11,048",5,"49,237",8,"27,281",2,"15,482",9,"199,021",11,"535,581",162,"273,239",24,"22,748",71,"324,181",71,"138,270",270,"22,914,879"
